"partid","task_ord","cond","task_ind","task","session","time","gamble_ind","gamble_lab","box","opt","outcome","rt","nopt","H","R"
90280202,"dfd_dfe","incr",2,"dfe","32d328a2274251a55b4209186ce37321",1422467345,4,"soep4_4",4,"d",4,675,4,0,1
90283701,"dfe_dfd","incr",1,"dfe","54a5f7b439c5d4374aa2a23b90d88761",1418204888,1,"soep1_2",1,"a",0,1769,2,1,1
90283701,"dfe_dfd","incr",1,"dfe","54a5f7b439c5d4374aa2a23b90d88761",1418204903,2,"soep2_2",1,"a",4,1534,2,1,1
90283701,"dfe_dfd","incr",1,"dfe","54a5f7b439c5d4374aa2a23b90d88761",1418204918,3,"soep3_4",3,"c",3,1060,4,0,0
90283701,"dfe_dfd","incr",1,"dfe","54a5f7b439c5d4374aa2a23b90d88761",1418204922,4,"soep4_4",2,"d",0,858,4,0,1
90283701,"dfe_dfd","incr",2,"dfd","54a5f7b439c5d4374aa2a23b90d88761",1418204960,1,"soep1_2",2,"b",3,6698,2,0,0
90283701,"dfe_dfd","incr",2,"dfd","54a5f7b439c5d4374aa2a23b90d88761",1418204968,2,"soep2_2",2,"a",0,4390,2,1,1
90283701,"dfe_dfd","incr",2,"dfd","54a5f7b439c5d4374aa2a23b90d88761",1418204979,3,"soep3_4",2,"c",3,9388,4,0,0
90283701,"dfe_dfd","incr",2,"dfd","54a5f7b439c5d4374aa2a23b90d88761",1418204992,4,"soep4_4",1,"b",4,10830,4,0,1
90295001,"dfe_dfd","decr",1,"dfe","b165d85085a94a8820d7beaa4451eca3",1423577223,1,"soep4_4",3,"a",0,1920,4,1,1
90295001,"dfe_dfd","decr",1,"dfe","b165d85085a94a8820d7beaa4451eca3",1423577240,2,"soep3_4",1,"b",0,1126,4,0,1
90295001,"dfe_dfd","decr",1,"dfe","b165d85085a94a8820d7beaa4451eca3",1423577256,3,"soep2_2",1,"a",4,1136,2,1,1
90295001,"dfe_dfd","decr",1,"dfe","b165d85085a94a8820d7beaa4451eca3",1423577266,4,"soep1_2",2,"b",3,596,2,0,0
90295001,"dfe_dfd","decr",2,"dfd","b165d85085a94a8820d7beaa4451eca3",1423577314,1,"soep4_4",1,"a",0,6046,4,1,1
90295001,"dfe_dfd","decr",2,"dfd","b165d85085a94a8820d7beaa4451eca3",1423577320,2,"soep3_4",1,"a",0,4534,4,1,1
90295001,"dfe_dfd","decr",2,"dfd","b165d85085a94a8820d7beaa4451eca3",1423577328,3,"soep2_2",1,"b",3,4779,2,0,0
90295001,"dfe_dfd","decr",2,"dfd","b165d85085a94a8820d7beaa4451eca3",1423577332,4,"soep1_2",2,"a",0,2417,2,1,1
400038801,"dfe_dfd","incr",1,"dfe","95d1e21fc0f26e19fcbb5c60dd73b783",1413996435,1,"soep1_2",1,"a",0,2365,2,1,1
400038801,"dfe_dfd","incr",1,"dfe","95d1e21fc0f26e19fcbb5c60dd73b783",1413996461,2,"soep2_2",1,"a",4,2071,2,1,1
400038801,"dfe_dfd","incr",1,"dfe","95d1e21fc0f26e19fcbb5c60dd73b783",1413996482,3,"soep3_4",1,"d",4,1702,4,0,1
400038801,"dfe_dfd","incr",1,"dfe","95d1e21fc0f26e19fcbb5c60dd73b783",1413996505,4,"soep4_4",4,"b",4,1943,4,0,1
400038801,"dfe_dfd","incr",2,"dfd","95d1e21fc0f26e19fcbb5c60dd73b783",1413996571,1,"soep1_2",2,"a",0,6496,2,1,1
400038801,"dfe_dfd","incr",2,"dfd","95d1e21fc0f26e19fcbb5c60dd73b783",1413996577,2,"soep2_2",2,"b",3,3029,2,0,0
400038801,"dfe_dfd","incr",2,"dfd","95d1e21fc0f26e19fcbb5c60dd73b783",1413996596,3,"soep3_4",1,"c",3,15058,4,0,0
400038801,"dfe_dfd","incr",2,"dfd","95d1e21fc0f26e19fcbb5c60dd73b783",1413996600,4,"soep4_4",1,"d",0,1766,4,0,1
400050701,"dfd_dfe","decr",1,"dfd","67c2d81f7f775dfd07b84c573561e006",1414769654,1,"soep4_4",4,"b",0,17772,4,0,1
400050701,"dfd_dfe","decr",1,"dfd","67c2d81f7f775dfd07b84c573561e006",1414769668,2,"soep3_4",4,"b",0,10560,4,0,1
400050701,"dfd_dfe","decr",1,"dfd","67c2d81f7f775dfd07b84c573561e006",1414769674,3,"soep2_2",2,"b",3,4135,2,0,0
400050701,"dfd_dfe","decr",1,"dfd","67c2d81f7f775dfd07b84c573561e006",1414769678,4,"soep1_2",2,"a",0,3037,2,1,1
400050701,"dfd_dfe","decr",2,"dfe","67c2d81f7f775dfd07b84c573561e006",1414769719,1,"soep4_4",4,"a",0,1899,4,1,1
400050701,"dfd_dfe","decr",2,"dfe","67c2d81f7f775dfd07b84c573561e006",1414769729,2,"soep3_4",4,"c",3,2354,4,0,0
400050701,"dfd_dfe","decr",2,"dfe","67c2d81f7f775dfd07b84c573561e006",1414769739,3,"soep2_2",1,"b",3,767,2,0,0
400050701,"dfd_dfe","decr",2,"dfe","67c2d81f7f775dfd07b84c573561e006",1414769745,4,"soep1_2",2,"b",3,483,2,0,0
400050702,"dfd_dfe","incr",1,"dfd","47166421c273ca9c03ec6a46e596e467",1415118358,1,"soep1_2",2,"b",3,5385,2,0,0
400050702,"dfd_dfe","incr",1,"dfd","47166421c273ca9c03ec6a46e596e467",1415118362,2,"soep2_2",2,"b",3,2379,2,0,0
400050702,"dfd_dfe","incr",1,"dfd","47166421c273ca9c03ec6a46e596e467",1415118367,3,"soep3_4",1,"a",0,3599,4,1,1
400050702,"dfd_dfe","incr",1,"dfd","47166421c273ca9c03ec6a46e596e467",1415118373,4,"soep4_4",2,"a",0,4239,4,1,1
400050702,"dfd_dfe","incr",2,"dfe","47166421c273ca9c03ec6a46e596e467",1415118407,1,"soep1_2",1,"a",0,2386,2,1,1
400050702,"dfd_dfe","incr",2,"dfe","47166421c273ca9c03ec6a46e596e467",1415118415,2,"soep2_2",1,"a",4,1261,2,1,1
400050702,"dfd_dfe","incr",2,"dfe","47166421c273ca9c03ec6a46e596e467",1415118428,3,"soep3_4",4,"c",3,2113,4,0,0
400050702,"dfd_dfe","incr",2,"dfe","47166421c273ca9c03ec6a46e596e467",1415118439,4,"soep4_4",3,"d",0,3073,4,0,1
400101501,"dfe_dfd","incr",1,"dfe","2ecba2815bf4811464c4a322db99ec5d",1422369696,1,"soep1_2",2,"b",3,10258,2,0,0
400101501,"dfe_dfd","incr",1,"dfe","2ecba2815bf4811464c4a322db99ec5d",1422369733,2,"soep2_2",1,"a",4,8423,2,1,1
400101501,"dfe_dfd","incr",1,"dfe","2ecba2815bf4811464c4a322db99ec5d",1422369780,3,"soep3_4",1,"b",0,10826,4,0,1
400101501,"dfe_dfd","incr",1,"dfe","2ecba2815bf4811464c4a322db99ec5d",1422369816,4,"soep4_4",4,"a",0,15319,4,1,1
400101501,"dfe_dfd","incr",2,"dfd","2ecba2815bf4811464c4a322db99ec5d",1422369887,1,"soep1_2",1,"b",3,18756,2,0,0
400101501,"dfe_dfd","incr",2,"dfd","2ecba2815bf4811464c4a322db99ec5d",1422369903,2,"soep2_2",2,"b",3,12308,2,0,0
400101501,"dfe_dfd","incr",2,"dfd","2ecba2815bf4811464c4a322db99ec5d",1422369924,3,"soep3_4",4,"c",3,18150,4,0,0
400101501,"dfe_dfd","incr",2,"dfd","2ecba2815bf4811464c4a322db99ec5d",1422369943,4,"soep4_4",4,"c",3,15821,4,0,0
400128701,"dfe_dfd","incr",1,"dfe","3b1c25d8efd7d29be57a409045bc2a2a",1423075130,1,"soep1_2",1,"b",3,2761,2,0,0
400128701,"dfe_dfd","incr",1,"dfe","3b1c25d8efd7d29be57a409045bc2a2a",1423075139,2,"soep2_2",2,"a",4,989,2,1,1
400128701,"dfe_dfd","incr",1,"dfe","3b1c25d8efd7d29be57a409045bc2a2a",1423075152,3,"soep3_4",4,"d",4,2759,4,0,1
400128701,"dfe_dfd","incr",1,"dfe","3b1c25d8efd7d29be57a409045bc2a2a",1423075162,4,"soep4_4",2,"b",4,1047,4,0,1
400128701,"dfe_dfd","incr",2,"dfd","3b1c25d8efd7d29be57a409045bc2a2a",1423075220,1,"soep1_2",1,"b",3,7002,2,0,0
400128701,"dfe_dfd","incr",2,"dfd","3b1c25d8efd7d29be57a409045bc2a2a",1423075232,2,"soep2_2",1,"b",3,9806,2,0,0
400128701,"dfe_dfd","incr",2,"dfd","3b1c25d8efd7d29be57a409045bc2a2a",1423075267,3,"soep3_4",4,"b",0,32672,4,0,1
400128701,"dfe_dfd","incr",2,"dfd","3b1c25d8efd7d29be57a409045bc2a2a",1423075272,4,"soep4_4",4,"a",0,3792,4,1,1
400128702,"dfe_dfd","decr",1,"dfe","7c19c14d236372ba82fd795994dc1fff",1423077005,1,"soep4_4",2,"c",3,1949,4,0,0
400128702,"dfe_dfd","decr",1,"dfe","7c19c14d236372ba82fd795994dc1fff",1423077020,2,"soep3_4",2,"c",3,1949,4,0,0
400128702,"dfe_dfd","decr",1,"dfe","7c19c14d236372ba82fd795994dc1fff",1423077032,3,"soep2_2",2,"b",3,1672,2,0,0
400128702,"dfe_dfd","decr",1,"dfe","7c19c14d236372ba82fd795994dc1fff",1423077046,4,"soep1_2",1,"b",3,945,2,0,0
400128702,"dfe_dfd","decr",2,"dfd","7c19c14d236372ba82fd795994dc1fff",1423077088,1,"soep4_4",4,"d",4,11285,4,0,1
400128702,"dfe_dfd","decr",2,"dfd","7c19c14d236372ba82fd795994dc1fff",1423077095,2,"soep3_4",4,"d",4,5030,4,0,1
400128702,"dfe_dfd","decr",2,"dfd","7c19c14d236372ba82fd795994dc1fff",1423077105,3,"soep2_2",1,"b",3,6915,2,0,0
400128702,"dfe_dfd","decr",2,"dfd","7c19c14d236372ba82fd795994dc1fff",1423077109,4,"soep1_2",2,"a",0,2704,2,1,1
400147301,"dfd_dfe","decr",1,"dfd","71837f3b8ec93b87896f986a8b9b2c63",1411992485,1,"soep4_4",2,"a",34,14458,4,1,1
