"mean","HDIl","HDIu","r2_med","r2_sd","timestamp","dv","sex","age","fluid","cryst","hhinc","incomenet","eduyears","social","sports","empl","effect","model","do_sim","j_sim","SOEPgen","SOEPdri","SOEPinv","SOEPrec","SOEPocc","SOEPhea","SOEPsoc","S.dfe2","S.dfe4","R.dfe2","R.dfe4","R.dfd2","R.dfd4","REM","REMsr","REMbeh","sim_median","sim_min","sim_max"
0.0583013054152042,-0.0422946280132932,0.156907285930274,0.0640327817636072,0.0217607263662225,1520084485.37767,"SOEPdri","yes","yes","no","no","no","yes","no","no","no","no","incomenet",50,FALSE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0735133956302819,-0.0278150367436695,0.173339851182211,0.0568301984548035,0.0202031140792179,1520084485.09511,"SOEPinv","yes","yes","no","no","no","yes","no","no","no","no","incomenet",51,FALSE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0689562459278151,-0.158944979763338,0.0253661113963005,0.106709928411606,0.0244812928670078,1520084485.22473,"SOEPrec","yes","yes","no","no","no","yes","no","no","no","no","incomenet",52,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0637620904696897,-0.0282708380668158,0.152274552248901,0.0644130204676557,0.0210638600049379,1520084486.78911,"SOEPocc","yes","yes","no","no","no","yes","no","no","no","no","incomenet",53,FALSE,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0418948715238458,-0.056648514291114,0.142467652837468,0.015318237820191,0.0105946362382092,1520084486.9764,"SOEPhea","yes","yes","no","no","no","yes","no","no","no","no","incomenet",54,FALSE,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
0.0663823490650023,-0.0267687229346949,0.165464591658376,0.0101691978568776,0.00848955479174804,1520084487.66406,"SOEPsoc","yes","yes","no","no","no","yes","no","no","no","no","incomenet",55,FALSE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
-0.0695262753324359,-0.176084321998441,0.0412479507637711,0.00931270914320169,0.00786609461212952,1520084488.07349,"S.dfe2","yes","yes","no","no","no","yes","no","no","no","no","incomenet",56,FALSE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
-0.00891708953109997,-0.112141600491682,0.0933030711532308,0.0144043404383436,0.00970454004450873,1520084487.55774,"S.dfe4","yes","yes","no","no","no","yes","no","no","no","no","incomenet",57,FALSE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
-0.0794005065654956,-0.181212466215157,0.0233883163347803,0.0115536841396778,0.00925594144002675,1520084487.99791,"R.dfe2","yes","yes","no","no","no","yes","no","no","no","no","incomenet",58,FALSE,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NA,NA,NA
-0.0295923135412061,-0.128176165512936,0.0716900692680805,0.0112012473782537,0.0087995051118839,1520084488.78508,"R.dfe4","yes","yes","no","no","no","yes","no","no","no","no","incomenet",59,FALSE,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA
-0.0627833537857753,-0.160200184783194,0.0326835530839862,0.0152490164718387,0.0105048549747075,1520084488.39713,"R.dfd2","yes","yes","no","no","no","yes","no","no","no","no","incomenet",60,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA
-0.0556935422225912,-0.1578032791402,0.0502243027339014,0.0212385452054478,0.0123925907452029,1520084492.75111,"R.dfd4","yes","yes","no","no","no","yes","no","no","no","no","incomenet",61,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA
-0.00741714490752134,-0.0460640963356671,0.0318923806432372,0.0973118249333824,0.00848627903223543,1520084590.1051,"REM","yes","yes","no","no","no","yes","no","no","no","no","incomenet",62,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA
-0.0509392515253843,-0.10010025671981,-0.00251427112716922,0.0808814760960724,0.0144599848108475,1520084538.9535,"REMbeh","yes","yes","no","no","no","yes","no","no","no","no","incomenet",63,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA
0.0282115987801318,-0.0330277592598434,0.0879534038603929,0.293414624004067,0.0137786723860047,1520084539.2708,"REMsr","yes","yes","no","no","no","yes","no","no","no","no","incomenet",64,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
0.00393828005137526,-0.0837092343022093,0.0909816063460223,0.0100935784041887,0.00914144658227306,1520084492.5456,"SOEPgen","no","no","yes","no","no","yes","no","no","no","no","incomenet",65,FALSE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
